title,genre,rating,revenue,release_date
Avatar,on,7.2,2787965087,2009-12-10 00:00:00
Avatar,nture,7.2,2787965087,2009-12-10 00:00:00
Avatar,asy,7.2,2787965087,2009-12-10 00:00:00
Avatar,nce Fiction,7.2,2787965087,2009-12-10 00:00:00
Pirates of the Caribbean: At World's End,nture,6.9,961000000,2007-05-19 00:00:00
Pirates of the Caribbean: At World's End,asy,6.9,961000000,2007-05-19 00:00:00
Pirates of the Caribbean: At World's End,on,6.9,961000000,2007-05-19 00:00:00
Spectre,on,6.3,880674609,2015-10-26 00:00:00
Spectre,nture,6.3,880674609,2015-10-26 00:00:00
Spectre,e,6.3,880674609,2015-10-26 00:00:00
The Dark Knight Rises,on,7.6,1084939099,2012-07-16 00:00:00
The Dark Knight Rises,e,7.6,1084939099,2012-07-16 00:00:00
The Dark Knight Rises,a,7.6,1084939099,2012-07-16 00:00:00
The Dark Knight Rises,ller,7.6,1084939099,2012-07-16 00:00:00
John Carter,on,6.1,284139100,2012-03-07 00:00:00
John Carter,nture,6.1,284139100,2012-03-07 00:00:00
John Carter,nce Fiction,6.1,284139100,2012-03-07 00:00:00
Spider-Man 3,asy,5.9,890871626,2007-05-01 00:00:00
Spider-Man 3,on,5.9,890871626,2007-05-01 00:00:00
Spider-Man 3,nture,5.9,890871626,2007-05-01 00:00:00
Tangled,ation,7.4,591794936,2010-11-24 00:00:00
Tangled,ly,7.4,591794936,2010-11-24 00:00:00
Avengers: Age of Ultron,on,7.3,1405403694,2015-04-22 00:00:00
Avengers: Age of Ultron,nture,7.3,1405403694,2015-04-22 00:00:00
Avengers: Age of Ultron,nce Fiction,7.3,1405403694,2015-04-22 00:00:00
Harry Potter and the Half-Blood Prince,nture,7.4,933959197,2009-07-07 00:00:00
Harry Potter and the Half-Blood Prince,asy,7.4,933959197,2009-07-07 00:00:00
Harry Potter and the Half-Blood Prince,ly,7.4,933959197,2009-07-07 00:00:00
Batman v Superman: Dawn of Justice,on,5.7,873260194,2016-03-23 00:00:00
Batman v Superman: Dawn of Justice,nture,5.7,873260194,2016-03-23 00:00:00
Batman v Superman: Dawn of Justice,asy,5.7,873260194,2016-03-23 00:00:00
Superman Returns,nture,5.4,391081192,2006-06-28 00:00:00
Superman Returns,asy,5.4,391081192,2006-06-28 00:00:00
Superman Returns,on,5.4,391081192,2006-06-28 00:00:00
Superman Returns,nce Fiction,5.4,391081192,2006-06-28 00:00:00
Quantum of Solace,nture,6.1,586090727,2008-10-30 00:00:00
Quantum of Solace,on,6.1,586090727,2008-10-30 00:00:00
Quantum of Solace,ller,6.1,586090727,2008-10-30 00:00:00
Quantum of Solace,e,6.1,586090727,2008-10-30 00:00:00
Pirates of the Caribbean: Dead Man's Chest,nture,7.0,1065659812,2006-06-20 00:00:00
Pirates of the Caribbean: Dead Man's Chest,asy,7.0,1065659812,2006-06-20 00:00:00
Pirates of the Caribbean: Dead Man's Chest,on,7.0,1065659812,2006-06-20 00:00:00
The Lone Ranger,on,5.9,89289910,2013-07-03 00:00:00
The Lone Ranger,nture,5.9,89289910,2013-07-03 00:00:00
The Lone Ranger,ern,5.9,89289910,2013-07-03 00:00:00
Man of Steel,on,6.5,662845518,2013-06-12 00:00:00
Man of Steel,nture,6.5,662845518,2013-06-12 00:00:00
Man of Steel,asy,6.5,662845518,2013-06-12 00:00:00
Man of Steel,nce Fiction,6.5,662845518,2013-06-12 00:00:00
The Chronicles of Narnia: Prince Caspian,nture,6.3,419651413,2008-05-15 00:00:00
The Chronicles of Narnia: Prince Caspian,ly,6.3,419651413,2008-05-15 00:00:00
The Chronicles of Narnia: Prince Caspian,asy,6.3,419651413,2008-05-15 00:00:00
The Avengers,nce Fiction,7.4,1519557910,2012-04-25 00:00:00
The Avengers,on,7.4,1519557910,2012-04-25 00:00:00
The Avengers,nture,7.4,1519557910,2012-04-25 00:00:00
Pirates of the Caribbean: On Stranger Tides,nture,6.4,1045713802,2011-05-14 00:00:00
Pirates of the Caribbean: On Stranger Tides,on,6.4,1045713802,2011-05-14 00:00:00
